Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,OCCUPATION,UNIT_MEASURE,Value
2019,A,_X,Average hourly earnings for Craft and related trades workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_7,USD,0.8
2017,A,_X,Average hourly earnings for Craft and related trades workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_7,USD,0.4
2018,A,_X,Average hourly earnings for Craft and related trades workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_7,USD,0.9
2019,A,_X,Average hourly earnings for Craft and related trades workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_7,USD,0.5
2017,A,_X,"Average hourly earnings for Plant and Machine operators, and assemblers",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_8,USD,1.0
2018,A,_X,"Average hourly earnings for Plant and Machine operators, and assemblers",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_8,USD,0.9
2019,A,_X,"Average hourly earnings for Plant and Machine operators, and assemblers",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_8,USD,0.9
2017,A,_X,"Average hourly earnings for Plant and Machine operators, and assemblers",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_8,USD,0.4
2018,A,_X,"Average hourly earnings for Plant and Machine operators, and assemblers",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_8,USD,0.6
2019,A,_X,"Average hourly earnings for Plant and Machine operators, and assemblers",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_8,USD,0.4
2017,A,_X,Average hourly earnings for Elementary Occupations,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_9,USD,0.3
2018,A,_X,Average hourly earnings for Elementary Occupations,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_9,USD,0.3
2019,A,_X,Average hourly earnings for Elementary Occupations,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_9,USD,0.3
2017,A,_X,Average hourly earnings for Elementary Occupations,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_9,USD,0.2
2018,A,_X,Average hourly earnings for Elementary Occupations,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_9,USD,0.3
2019,A,_X,Average hourly earnings for Elementary Occupations,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_9,USD,0.2
2018,A,_X,Average hourly earnings,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,Y_GE16,,USD,480.0
2018,A,_X,Average hourly earnings,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,Y_GE16,,USD,356.0
2018,A,_X,Average hourly earnings,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,Y16T24,,USD,273.0
2018,A,_X,Average hourly earnings,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,Y16T24,,USD,278.0
2018,A,_X,Average hourly earnings,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,Y25T34,,USD,506.0
2018,A,_X,Average hourly earnings,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,Y25T34,,USD,388.0
2018,A,_X,Average hourly earnings,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,Y55T64,,USD,449.0
2018,A,_X,Average hourly earnings,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,Y55T64,,USD,260.0
2018,A,_X,Average hourly earnings,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,Y_GE65,,USD,434.0
2018,A,_X,Average hourly earnings,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,Y_GE65,,USD,223.0
2018,A,_X,"Average hourly earnings, Person with disability",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,,USD,249.0
2018,A,_X,"Average hourly earnings, Person with disability",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,,USD,178.0
