Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2006,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,33.413849
2007,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,36.364359
2008,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,43.683248
2009,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,47.190359
2010,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,51.114923
2011,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,57.189542
2012,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,61.268807
2013,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,50.556848
2014,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,51.77692
2015,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,52.728614
2016,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,51.820341
2017,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,60.198012
2018,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,60.087732
2019,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,66.920234
