Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,2,,,,PT,56.5
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,2,,,,PT,38.4
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,2,,,,PT,41.4
2000,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,3,,,,PT,62.3
2005,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,3,,,,PT,60.4
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,3,,,,PT,48.4
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,3,,,,PT,45.2
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,3,,,,PT,47.1
2000,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,4,,,,PT,64.2
2005,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,4,,,,PT,60.5
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,4,,,,PT,42.8
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,4,,,,PT,45.9
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,4,,,,PT,42.3
2000,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,5,,,,PT,59.3
2005,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,5,,,,PT,52.1
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,5,,,,PT,42.6
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,5,,,,PT,38.0
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,5,,,,PT,37.4
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,11,,,,PT,10.1
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,11,,,,PT,19.9
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,11,,,,PT,11.8
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,12,,,,PT,26.0
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,12,,,,PT,23.4
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,12,,,,PT,15.8
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,13,,,,PT,8.3
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,13,,,,PT,16.3
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,13,,,,PT,11.4
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,21,,,,PT,49.8
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,21,,,,PT,38.0
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,21,,,,PT,46.5
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,22,,,,PT,59.4
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,22,,,,PT,53.3
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,22,,,,PT,55.6
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,23,,,,PT,61.6
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,23,,,,PT,47.9
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,23,,,,PT,52.4
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,24,,,,PT,46.6
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,24,,,,PT,32.5
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,24,,,,PT,40.2
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,25,,,,PT,73.3
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,25,,,,PT,41.5
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,25,,,,PT,48.6
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,26,,,,PT,60.4
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,26,,,,PT,37.8
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,26,,,,PT,38.0
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,27,,,,PT,53.6
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,27,,,,PT,30.5
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,27,,,,PT,32.6
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,28,,,,PT,46.7
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,28,,,,PT,25.9
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,28,,,,PT,22.3
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,31,,,,PT,61.7
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,31,,,,PT,45.3
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,31,,,,PT,52.7
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,32,,,,PT,53.0
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,32,,,,PT,51.4
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,32,,,,PT,49.5
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,33,,,,PT,35.8
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,33,,,,PT,35.5
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,33,,,,PT,35.7
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,34,,,,PT,28.6
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,34,,,,PT,39.6
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,34,,,,PT,46.8
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,35,,,,PT,51.9
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,35,,,,PT,49.6
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,35,,,,PT,47.7
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,36,,,,PT,45.0
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,36,,,,PT,35.1
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,36,,,,PT,33.5
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,37,,,,PT,63.4
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,37,,,,PT,62.0
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,37,,,,PT,69.3
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,41,,,,PT,42.9
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,41,,,,PT,48.1
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,41,,,,PT,54.2
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,42,,,,PT,56.6
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,42,,,,PT,42.0
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,42,,,,PT,34.2
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,43,,,,PT,20.1
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,43,,,,PT,34.9
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,43,,,,PT,40.7
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,44,,,,PT,45.2
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,44,,,,PT,50.4
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,44,,,,PT,49.8
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,45,,,,PT,49.3
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,45,,,,PT,55.3
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,45,,,,PT,34.7
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,51,,,,PT,30.4
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,51,,,,PT,25.4
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,51,,,,PT,18.9
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,52,,,,PT,37.8
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,52,,,,PT,44.1
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,52,,,,PT,44.8
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,53,,,,PT,43.1
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,53,,,,PT,43.8
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,53,,,,PT,42.1
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,54,,,,PT,42.6
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,54,,,,PT,26.4
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,54,,,,PT,26.7
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,55,,,,PT,47.9
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,55,,,,PT,41.8
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,55,,,,PT,44.6
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,56,,,,PT,47.6
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,56,,,,PT,46.8
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,56,,,,PT,37.8
2011,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,57,,,,PT,48.4
2014,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,57,,,,PT,34.3
2017,A,_X,Proportion of population living below the national poverty line,0,"EICV, NISR",A,N,SI_POV_NAHC,57,,,,PT,40.3
