Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2014,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2015,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2016,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2017,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2018,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2019,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2020,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2000,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2001,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2002,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2003,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2004,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2005,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2006,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2007,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2008,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2009,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2010,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2011,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2012,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2013,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2014,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2015,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2016,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2017,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2018,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2019,Normal value,Not Available,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2000,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2001,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2002,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2003,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2004,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2005,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2006,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2007,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2008,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2009,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2010,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2011,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2012,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2013,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2014,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2015,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2016,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2017,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2018,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
2019,Normal value,Not Available,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Units,"NISR, CRVS",Annual,National,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,0
