Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Occupation,UNIT_MEASURE,Value
2017,Normal value,Not Available,"Average hourly earnings for Skilled agriculture, forestry and fishery workers",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,"Skilled agricultural, forestry and fishery workers",USD,0.2
2018,Normal value,Not Available,"Average hourly earnings for Skilled agriculture, forestry and fishery workers",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,"Skilled agricultural, forestry and fishery workers",USD,0.8
2019,Normal value,Not Available,"Average hourly earnings for Skilled agriculture, forestry and fishery workers",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,"Skilled agricultural, forestry and fishery workers",USD,0.2
2017,Normal value,Not Available,"Average hourly earnings for Skilled agriculture, forestry and fishery workers",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,"Skilled agricultural, forestry and fishery workers",USD,0.4
2018,Normal value,Not Available,"Average hourly earnings for Skilled agriculture, forestry and fishery workers",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,"Skilled agricultural, forestry and fishery workers",USD,0.5
2019,Normal value,Not Available,"Average hourly earnings for Skilled agriculture, forestry and fishery workers",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,"Skilled agricultural, forestry and fishery workers",USD,0.2
2017,Normal value,Not Available,Average hourly earnings for Craft and related trades workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Craft and related trades workers,USD,0.7
2018,Normal value,Not Available,Average hourly earnings for Craft and related trades workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Craft and related trades workers,USD,0.8
2019,Normal value,Not Available,Average hourly earnings for Craft and related trades workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Craft and related trades workers,USD,0.8
2017,Normal value,Not Available,Average hourly earnings for Craft and related trades workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Craft and related trades workers,USD,0.4
2018,Normal value,Not Available,Average hourly earnings for Craft and related trades workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Craft and related trades workers,USD,0.9
2019,Normal value,Not Available,Average hourly earnings for Craft and related trades workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Craft and related trades workers,USD,0.5
2017,Normal value,Not Available,"Average hourly earnings for Plant and Machine operators, and assemblers",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,"Plant and machine operators, and assemblers",USD,1.0
2018,Normal value,Not Available,"Average hourly earnings for Plant and Machine operators, and assemblers",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,"Plant and machine operators, and assemblers",USD,0.9
2019,Normal value,Not Available,"Average hourly earnings for Plant and Machine operators, and assemblers",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,"Plant and machine operators, and assemblers",USD,0.9
2017,Normal value,Not Available,"Average hourly earnings for Plant and Machine operators, and assemblers",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,"Plant and machine operators, and assemblers",USD,0.4
2018,Normal value,Not Available,"Average hourly earnings for Plant and Machine operators, and assemblers",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,"Plant and machine operators, and assemblers",USD,0.6
2019,Normal value,Not Available,"Average hourly earnings for Plant and Machine operators, and assemblers",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,"Plant and machine operators, and assemblers",USD,0.4
2017,Normal value,Not Available,Average hourly earnings for Elementary Occupations,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Elementary occupations,USD,0.3
2018,Normal value,Not Available,Average hourly earnings for Elementary Occupations,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Elementary occupations,USD,0.3
2019,Normal value,Not Available,Average hourly earnings for Elementary Occupations,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Elementary occupations,USD,0.3
2017,Normal value,Not Available,Average hourly earnings for Elementary Occupations,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Elementary occupations,USD,0.2
2018,Normal value,Not Available,Average hourly earnings for Elementary Occupations,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Elementary occupations,USD,0.3
2019,Normal value,Not Available,Average hourly earnings for Elementary Occupations,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Elementary occupations,USD,0.2
2018,Normal value,Not Available,Average hourly earnings,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,16 years old and over,,USD,480.0
2018,Normal value,Not Available,Average hourly earnings,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,16 years old and over,,USD,356.0
2018,Normal value,Not Available,Average hourly earnings,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,16 to 24 years old,,USD,273.0
2018,Normal value,Not Available,Average hourly earnings,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,16 to 24 years old,,USD,278.0
2018,Normal value,Not Available,Average hourly earnings,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,25 to 34 years old,,USD,506.0
2018,Normal value,Not Available,Average hourly earnings,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,25 to 34 years old,,USD,388.0
2018,Normal value,Not Available,Average hourly earnings,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,55 to 64 years old,,USD,449.0
2018,Normal value,Not Available,Average hourly earnings,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,55 to 64 years old,,USD,260.0
2018,Normal value,Not Available,Average hourly earnings,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,65 years old and over,,USD,434.0
2018,Normal value,Not Available,Average hourly earnings,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,65 years old and over,,USD,223.0
2018,Normal value,Not Available,"Average hourly earnings, Person with disability",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,,USD,249.0
2018,Normal value,Not Available,"Average hourly earnings, Person with disability",Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,,USD,178.0
