Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rubavu,Percent,18.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Bugesera,Percent,17.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Bugesera,Percent,18.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Kirehe,Percent,21.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Kirehe,Percent,17.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Ruhango,Percent,11.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Ruhango,Percent,14.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Kamonyi,Percent,12.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Kamonyi,Percent,14.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rwamagana,Percent,8.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rwamagana,Percent,14.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyanza,Percent,11.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyanza,Percent,13.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Gisagara,Percent,12.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Gisagara,Percent,13.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Ngoma,Percent,8.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Ngoma,Percent,12.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Kicukiro,Percent,9.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Kicukiro,Percent,9.0
