Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2005,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,Urban,Percent,28.5
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,Urban,Percent,22.1
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,Urban,Percent,15.9
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,Urban,Percent,15.8
2005,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,Rural,Percent,61.9
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,Rural,Percent,48.7
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,Rural,Percent,43.7
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,Rural,Percent,43.1
2000,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],City of Kigali,,,,Percent,22.7
2005,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],City of Kigali,,,,Percent,20.8
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],City of Kigali,,,,Percent,16.8
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],City of Kigali,,,,Percent,20.9
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],City of Kigali,,,,Percent,13.9
2000,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Southern Province,,,,Percent,65.5
2005,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Southern Province,,,,Percent,66.7
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Southern Province,,,,Percent,56.5
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Southern Province,,,,Percent,38.4
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Southern Province,,,,Percent,41.4
2000,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Western Province,,,,Percent,62.3
2005,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Western Province,,,,Percent,60.4
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Western Province,,,,Percent,48.4
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Western Province,,,,Percent,45.2
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Western Province,,,,Percent,47.1
2000,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Northern Province,,,,Percent,64.2
2005,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Northern Province,,,,Percent,60.5
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Northern Province,,,,Percent,42.8
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Northern Province,,,,Percent,45.9
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Northern Province,,,,Percent,42.3
2000,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Eastern Province,,,,Percent,59.3
2005,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Eastern Province,,,,Percent,52.1
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Eastern Province,,,,Percent,42.6
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Eastern Province,,,,Percent,38.0
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Eastern Province,,,,Percent,37.4
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyarugenge,,,,Percent,10.1
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyarugenge,,,,Percent,19.9
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyarugenge,,,,Percent,11.8
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gasabo,,,,Percent,26.0
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gasabo,,,,Percent,23.4
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gasabo,,,,Percent,15.8
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Kicukiro,,,,Percent,8.3
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Kicukiro,,,,Percent,16.3
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Kicukiro,,,,Percent,11.4
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyanza,,,,Percent,49.8
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyanza,,,,Percent,38.0
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyanza,,,,Percent,46.5
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gisagara,,,,Percent,59.4
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gisagara,,,,Percent,53.3
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gisagara,,,,Percent,55.6
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyaruguru,,,,Percent,61.6
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyaruguru,,,,Percent,47.9
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyaruguru,,,,Percent,52.4
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Huye,,,,Percent,46.6
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Huye,,,,Percent,32.5
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Huye,,,,Percent,40.2
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyamagabe,,,,Percent,73.3
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyamagabe,,,,Percent,41.5
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyamagabe,,,,Percent,48.6
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Ruhango,,,,Percent,60.4
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Ruhango,,,,Percent,37.8
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Ruhango,,,,Percent,38.0
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Muhanga,,,,Percent,53.6
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Muhanga,,,,Percent,30.5
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Muhanga,,,,Percent,32.6
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Kamonyi,,,,Percent,46.7
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Kamonyi,,,,Percent,25.9
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Kamonyi,,,,Percent,22.3
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Karongi,,,,Percent,61.7
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Karongi,,,,Percent,45.3
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Karongi,,,,Percent,52.7
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rutsiro,,,,Percent,53.0
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rutsiro,,,,Percent,51.4
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rutsiro,,,,Percent,49.5
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rubavu,,,,Percent,35.8
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rubavu,,,,Percent,35.5
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rubavu,,,,Percent,35.7
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyabihu,,,,Percent,28.6
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyabihu,,,,Percent,39.6
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyabihu,,,,Percent,46.8
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Ngororero,,,,Percent,51.9
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Ngororero,,,,Percent,49.6
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Ngororero,,,,Percent,47.7
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rusizi,,,,Percent,45.0
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rusizi,,,,Percent,35.1
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rusizi,,,,Percent,33.5
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyamasheke,,,,Percent,63.4
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyamasheke,,,,Percent,62.0
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyamasheke,,,,Percent,69.3
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rulindo,,,,Percent,42.9
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rulindo,,,,Percent,48.1
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rulindo,,,,Percent,54.2
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gakenke,,,,Percent,56.6
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gakenke,,,,Percent,42.0
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gakenke,,,,Percent,34.2
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Musanze,,,,Percent,20.1
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Musanze,,,,Percent,34.9
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Musanze,,,,Percent,40.7
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Burera,,,,Percent,45.2
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Burera,,,,Percent,50.4
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Burera,,,,Percent,49.8
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gicumbi,,,,Percent,49.3
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gicumbi,,,,Percent,55.3
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gicumbi,,,,Percent,34.7
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwamagana,,,,Percent,30.4
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwamagana,,,,Percent,25.4
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwamagana,,,,Percent,18.9
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyagatare,,,,Percent,37.8
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyagatare,,,,Percent,44.1
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Nyagatare,,,,Percent,44.8
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gatsibo,,,,Percent,43.1
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gatsibo,,,,Percent,43.8
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Gatsibo,,,,Percent,42.1
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Kayonza,,,,Percent,42.6
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Kayonza,,,,Percent,26.4
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Kayonza,,,,Percent,26.7
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Kirehe,,,,Percent,47.9
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Kirehe,,,,Percent,41.8
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Kirehe,,,,Percent,44.6
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Ngoma,,,,Percent,47.6
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Ngoma,,,,Percent,46.8
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Ngoma,,,,Percent,37.8
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Bugesera,,,,Percent,48.4
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Bugesera,,,,Percent,34.3
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Bugesera,,,,Percent,40.3
